Site name,Region, Latitude,Longitude,Lab Code,Date BP,SD,d13C,Level,Period,Material type,C14 method,Reference,Radiocarbon/sites,,,,,,,,,,,,,
Cova de les Cendres,Eastern / Southern,38.68611389,0.1525,Beta239377,6510,40,,H19,Neolithic,Bone,AMS,Bernabeu y Molina 2009,5,,,,,,,,,,,,,
Cova de les Cendres,Eastern / Southern,38.68611389,0.1525,Beta142228,6340,70,,H19,Neolithic,Seed/Fruit,AMS,Bernabeu y Molina 2009,5,,,,,,,,,,,,,
Cova de les Cendres,Eastern / Southern,38.68611389,0.1525,GifA101358,5980,100,,H15,Neolithic,Seed/Fruit,AMS,Bernabeu y Molina 2009,5,,,,,,,,,,,,,
Cova de les Cendres,Eastern / Southern,38.68611389,0.1525,GifA101360,6490,90,,H16,Neolithic,Seed/Fruit,AMS,Bernabeu y Molina 2009,5,,,,,,,,,,,,,
Cova del Frare,Northern,41.6375,2.019166667,Beta325690,6170,40,-20.4,VI,Neolithic,Bone,AMS,Oms et al. 2014,5,,,,,,,,,,,,,
Cova del Toll,Northern,41.80408611,2.148688889,OxA26070,6425,35,-20.1,IIb,Neolithic,Bone,AMS,Oms et al. 2014,5,,,,,,,,,,,,,
Cova del Toll,Northern,41.80408611,2.148688889,OxA26071,6390,34,-20,IIb,Neolithic,Bone,AMS,Oms et al. 2014,5,,,,,,,,,,,,,
Cova del Vidre,Eastern / Southern,40.709225,0.602227778,OxA26064,6181,35,-19.4,II,Neolithic,Bone,AMS,Oms et al. 2014,5,,,,,,,,,,,,,
Cova del Vidre,Eastern / Southern,40.709225,0.602227778,OxA26065,6248,33,-19.6,II,Neolithic,Bone,AMS,Oms et al. 2014,5,,,,,,,,,,,,,
Cova dels Trocs,Upper / Middle Ebro,42.45198889,0.546036111,Beta284150,6070,40,,Trocs I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2015,6,,,,,,,,,,,,,
