Site name,Region,Lab Code,Date BP,SD,d13C,Level,Period,Material type,C14 method,Reference
Los Cascajos,Upper / Middle Douro,Ua17793,5720,90,,Estructura 64,Neolithic,Bone,AMS,García Martínez de Lagrán 2012
Los Cascajos,Upper / Middle Douro,Ua17995,6125,80,,Estructura 214,Neolithic,Bone,AMS,García Gazolaiz et al. 2011
Los Cascajos,Upper / Middle Douro,Ua24427,6250,50,,Estructura 516,Neolithic,Seed/Fruit,AMS,García Gazolaiz et al. 2011
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua36203,6115,40,,XIb,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua36208,6120,40,,Xa,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua36209,6085,45,,IX,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua36210,6100,45,,VII,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua36212,6240,45,,VI,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua36213,6120,40,,II,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua36214,6260,45,,III,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua36215,6310,45,,I,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua37834,6090,40,,XIb,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua37835,6155,45,,Xb,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua37837,6065,50,,XIa,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua37838,6095,45,,IX,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua37839,6130,50,,VIII,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Los Castillejos,Upper / Middle Guadiana-Guadalquivir,Ua37844,6140,45,,V,Neolithic,Seed/Fruit,AMS,Rojo et al. 2012
Mas d'Is,Eastern / Southern,Beta331018,6030,30,,104392 /104393 / 104394,Neolithic,Bone,AMS,Bernabeu et al. 2014
Mas d'Is,Eastern / Southern,Beta331019,6140,30,,105628 / 105629 /105636,Neolithic,Bone,AMS,Bernabeu et al. 2014
Mas d'Is,Eastern / Southern,Beta166727,6600,50,-22.7,Sector 80,Neolithic,Seed/Fruit,AMS,Bernabeu et al. 2014
Mas d'Is,Eastern / Southern,Beta171907,5550,40,,-,Neolithic,Seed/Fruit,AMS,Bernabeu et al. 2014
Mas d'Is,Eastern / Southern,Beta171908,5590,40,,-,Neolithic,Seed/Fruit,AMS,Bernabeu et al. 2014
Mas d'Is,Eastern / Southern,Beta162092,6600,50,-24.1,Sector 80,Neolithic,Seed/Fruit,AMS,Bernabeu et al. 2014
Peña Larga,Upper / Middle Ebro,Beta242783,6720,40,,IV,Neolithic,Bone,AMS,Rojo et al. 2012
Peña Larga,Upper / Middle Ebro,Beta242782,5720,40,,IV,Neolithic,Bone,AMS,Rojo et al. 2012
Reina Amàlia,Northern,Beta259278,5750,40,,-,Neolithic,Bone,AMS,González 2009
Roca Chica,South Mediterranean,Wk25162,6234,30,,-,Neolithic,Bone,AMS,Cortés et al. 2012
Roca Chica,South Mediterranean,Wk27462,6234,30,,-,Neolithic,Bone,AMS,Cortés et al. 2012
Roca Chica,South Mediterranean,Ua34135,6265,60,,-,Neolithic,Seed/Fruit,AMS,Cortés et al. 2012
Roca Chica,South Mediterranean,Wk25172,6185,30,,-,Neolithic,Seed/Fruit,AMS,Cortés et al. 2012
Vale Boi,Portugal,OxA13445,6042,34,,-,Neolithic,Bone,AMS,Rojo et al. 2012
Vale Boi,Portugal,Wk17030,6036,39,,-,Neolithic,Bone,AMS,Rojo et al. 2012
Ventana,Upper /Middle Tagus,Beta166232,6350,40,,II inferior,Neolithic,Bone,,Jiménez Guijarro 2010
Vinya d’en Pau,Northern,CNA2488.1.1,6410,40,,,Neolithic,Bone,AMS,Oms et al. 2014
